ID,Place (x),Knowledge (y),Action (z),K5Name
4293,-0.563,-0.063,0.563,Ecospirituality
4300,-0.500,0.000,0.125,Ecospirituality
4315,-0.750,-0.063,0.250,Ecospirituality
4327,-0.063,-0.313,-0.125,Ecospirituality
4336,-0.125,-0.250,-0.063,Ecospirituality
4337,-0.125,-0.250,-0.063,Ecospirituality
4347,-0.750,-0.438,0.375,Ecospirituality
4353,-0.688,-0.688,0.500,Ecospirituality
4361,-0.250,-0.313,-0.063,Ecospirituality
4362,-0.250,-0.125,0.250,Ecospirituality
4367,-0.188,-0.063,0.125,Ecospirituality
4406,-0.438,-0.125,0.250,Ecospirituality
4430,-0.438,-0.250,0.250,Ecospirituality
4440,-0.375,-0.250,0.313,Ecospirituality
4453,-0.313,-0.313,0.313,Ecospirituality
4458,0.125,-0.375,-0.188,Ecospirituality
4464,-0.375,-0.250,0.188,Ecospirituality
4492,-0.063,-0.313,-0.250,Ecospirituality
4508,0.125,-0.250,-0.125,Ecospirituality
4514,-0.313,-0.375,0.313,Ecospirituality
4517,-0.625,-0.875,-0.125,Ecospirituality
4526,-0.625,-0.438,-0.375,Ecospirituality
4540,-0.625,-0.375,0.313,Ecospirituality
4547,-0.438,-0.563,-0.188,Ecospirituality
4565,-0.438,-0.188,0.375,Ecospirituality
4570,-0.375,-0.438,0.313,Ecospirituality
4585,0.000,-0.250,0.000,Ecospirituality
4594,0.000,-0.063,0.000,Ecospirituality
4600,-0.125,0.000,0.125,Ecospirituality
4618,-0.250,0.000,0.250,Ecospirituality
4629,0.000,-0.188,-0.125,Ecospirituality
4630,-0.375,-0.375,0.000,Ecospirituality
4637,-0.563,-0.688,0.063,Ecospirituality
4723,-0.313,-0.313,-0.063,Ecospirituality
4736,-0.438,0.000,0.125,Ecospirituality
4743,-0.313,-0.188,-0.063,Ecospirituality
4752,-0.313,-0.188,0.188,Ecospirituality
4753,-0.313,0.000,0.063,Ecospirituality
4755,-0.313,-0.313,-0.188,Ecospirituality
4757,-0.250,-0.188,0.250,Ecospirituality
4758,-0.250,-0.375,0.125,Ecospirituality
4762,-0.625,-0.500,-0.250,Ecospirituality
4763,-0.438,-0.438,-0.063,Ecospirituality
4764,-0.563,-0.125,0.500,Ecospirituality
4775,-0.625,-0.063,0.313,Ecospirituality
4778,0.000,-0.125,-0.063,Ecospirituality
4785,-0.250,-0.438,0.250,Ecospirituality
4802,-0.375,-0.500,-0.188,Ecospirituality
4811,-0.813,-0.313,0.313,Ecospirituality
4826,-0.500,-0.188,-0.063,Ecospirituality
4841,-0.438,-0.250,0.188,Ecospirituality
4848,-0.250,-0.313,0.063,Ecospirituality
4860,-0.625,-0.250,-0.063,Ecospirituality
4863,-0.438,-0.125,-0.063,Ecospirituality
4875,-0.375,-0.250,-0.125,Ecospirituality
4900,-0.125,-0.125,0.000,Ecospirituality
4902,-0.500,-0.125,0.313,Ecospirituality
4909,-0.250,-0.250,-0.063,Ecospirituality
4917,-0.188,-0.125,-0.063,Ecospirituality
4921,-0.250,-0.125,0.188,Ecospirituality
4926,-0.875,-0.438,0.250,Ecospirituality
4930,-0.125,-0.250,-0.188,Ecospirituality
4931,-0.313,0.000,0.313,Ecospirituality
4935,-0.500,-0.125,0.438,Ecospirituality
4936,-0.438,-0.125,0.313,Ecospirituality
4960,0.000,-0.188,-0.063,Ecospirituality
4965,-0.438,-0.125,0.125,Ecospirituality
4967,-0.438,-0.438,-0.250,Ecospirituality
4993,-0.625,-0.563,0.000,Ecospirituality
5000,-0.125,-0.188,0.125,Ecospirituality
5001,-0.313,-0.250,0.313,Ecospirituality
5010,-0.188,-0.063,0.125,Ecospirituality
5013,-0.188,-0.188,0.188,Ecospirituality
5029,-0.125,-0.563,-0.188,Ecospirituality
5043,-0.313,-0.250,0.125,Ecospirituality
5047,0.000,-0.250,-0.063,Ecospirituality
5049,-0.438,-0.313,0.313,Ecospirituality
