ID,Place (x),Knowledge (y),Action (z),K5Name
3221,-0.125,0.063,-0.375,Small Green Steps
3256,-0.188,0.000,-0.125,Small Green Steps
3311,-0.250,-0.188,-0.250,Small Green Steps
3312,-0.375,0.000,-0.250,Small Green Steps
3354,-0.063,0.188,-0.188,Small Green Steps
3386,-0.313,0.000,-0.250,Small Green Steps
3402,-0.750,0.125,-0.313,Small Green Steps
3422,-0.500,-0.313,-0.500,Small Green Steps
3452,0.000,-0.063,-0.188,Small Green Steps
3455,0.000,-0.063,-0.375,Small Green Steps
3456,-0.250,-0.313,-0.313,Small Green Steps
3457,-0.250,0.125,-0.125,Small Green Steps
3461,-0.063,-0.188,-0.500,Small Green Steps
3464,-0.125,0.063,-0.375,Small Green Steps
3466,-0.250,0.375,-0.625,Small Green Steps
3468,-0.250,-0.125,-0.188,Small Green Steps
3475,-0.313,-0.125,-0.125,Small Green Steps
3479,-0.125,0.000,-0.625,Small Green Steps
3481,-0.125,0.000,-0.125,Small Green Steps
3482,-0.188,0.125,-0.250,Small Green Steps
3487,-0.063,-0.063,-0.250,Small Green Steps
3490,-0.250,-0.250,-0.500,Small Green Steps
3500,-0.188,0.313,-0.438,Small Green Steps
3501,0.000,-0.125,-0.250,Small Green Steps
3503,0.000,0.000,-0.188,Small Green Steps
3507,-0.125,0.188,-0.313,Small Green Steps
3508,0.063,0.063,-0.313,Small Green Steps
3523,-0.688,-0.125,-0.125,Small Green Steps
3524,-0.625,-0.313,-0.313,Small Green Steps
3531,0.000,0.000,-0.438,Small Green Steps
3532,-0.125,0.000,-0.563,Small Green Steps
3536,-0.250,0.000,-0.313,Small Green Steps
3544,-0.250,0.250,-0.563,Small Green Steps
3551,-0.188,-0.250,-0.500,Small Green Steps
3554,-0.313,-0.063,-0.375,Small Green Steps
3555,-0.250,-0.250,-0.563,Small Green Steps
3569,-0.125,0.063,-0.063,Small Green Steps
3576,-0.625,-0.250,-0.500,Small Green Steps
3618,0.000,0.063,-0.188,Small Green Steps
3622,-0.063,0.000,-0.063,Small Green Steps
3635,-0.188,-0.313,-0.313,Small Green Steps
3656,0.000,0.000,-0.125,Small Green Steps
3688,-0.375,-0.375,-0.500,Small Green Steps
