ID,Place (x),Knowledge (y),Action (z),K5Name
3208,0.063,-0.313,0.875,Indigenous Justice
3209,-0.250,-0.188,0.438,Indigenous Justice
3212,0.063,-0.375,0.375,Indigenous Justice
3220,-0.125,0.063,0.375,Indigenous Justice
3224,-0.313,-0.563,0.750,Indigenous Justice
3227,0.000,0.250,0.750,Indigenous Justice
3229,-0.188,-0.438,0.563,Indigenous Justice
3244,-0.125,0.000,0.688,Indigenous Justice
3249,0.313,-0.063,1.000,Indigenous Justice
3257,0.000,-0.188,0.063,Indigenous Justice
3282,-0.188,-0.063,0.813,Indigenous Justice
3284,0.375,-0.375,0.000,Indigenous Justice
3286,0.313,-0.625,0.500,Indigenous Justice
3292,0.188,-0.188,0.375,Indigenous Justice
3296,-0.125,-0.250,0.500,Indigenous Justice
3298,-0.375,-0.125,0.438,Indigenous Justice
3300,0.000,0.063,0.188,Indigenous Justice
3302,-0.250,0.000,0.625,Indigenous Justice
3305,0.188,0.125,0.500,Indigenous Justice
3306,0.125,-0.313,-0.063,Indigenous Justice
3308,0.125,-0.625,0.750,Indigenous Justice
3313,-0.063,-0.063,0.625,Indigenous Justice
3314,0.063,-0.188,0.375,Indigenous Justice
3325,-0.188,0.000,0.813,Indigenous Justice
3327,-0.375,0.000,0.438,Indigenous Justice
3328,-0.063,-0.688,0.750,Indigenous Justice
3330,-0.125,-0.063,0.813,Indigenous Justice
3334,-0.625,-0.250,0.813,Indigenous Justice
3340,-0.250,0.000,0.563,Indigenous Justice
3344,0.250,0.125,0.625,Indigenous Justice
3351,-0.188,-0.188,0.438,Indigenous Justice
3352,-0.438,-0.250,0.938,Indigenous Justice
3356,-0.188,-0.250,0.313,Indigenous Justice
3358,-0.125,0.188,0.625,Indigenous Justice
3361,-0.250,-0.375,0.500,Indigenous Justice
3364,-0.063,-0.188,0.688,Indigenous Justice
3367,-0.250,-0.313,0.375,Indigenous Justice
3383,0.063,-0.063,0.375,Indigenous Justice
3384,-0.313,-0.063,0.500,Indigenous Justice
3390,0.250,0.063,0.750,Indigenous Justice
3407,-0.438,-0.375,0.625,Indigenous Justice
3411,-0.063,0.063,0.375,Indigenous Justice
3412,-0.125,-0.188,0.563,Indigenous Justice
3416,-0.500,-0.688,0.938,Indigenous Justice
3430,0.188,-0.188,0.688,Indigenous Justice
3449,0.000,-0.250,0.500,Indigenous Justice
3453,0.125,-0.063,0.063,Indigenous Justice
3459,-0.250,-0.125,0.375,Indigenous Justice
3463,-0.125,-0.125,0.625,Indigenous Justice
